location,title,url
-82.5018903 35.5933928,Blue Ridge,https://beatinpaths.com/2023/06/27/blue-ridge/
-82.542723 35.6339975,Electric Stitches,https://beatinpaths.com/2023/06/26/electric-stitches/
-97.3846095 32.905438,Big as Texas,https://beatinpaths.com/2023/03/01/big-as-texas/
-122.4255642 37.757802,Lacuna,https://beatinpaths.com/2023/02/12/lacuna/
-122.3209238 37.800035,grey rainy day in the bay,https://beatinpaths.com/2023/02/12/gray-rainy-day-in-the-bay/
-118.3193304 34.0887869,Liquefaction,https://beatinpaths.com/2022/11/08/liquefaction/
-116.6790332 33.8144981,san jacinto,https://beatinpaths.com/2022/11/08/san-jacinto/
-103.5375052 47.1057161,north dakota badlands,https://beatinpaths.com/2022/10/16/north-dakota-badlands/
-110.9081926 33.0589461,A Star is Always,https://beatinpaths.com/2022/09/28/a-star-is-always/
-106.3537347 39.1550467,The Clouds and the Mountains,https://beatinpaths.com/2022/08/03/the-clouds-and-the-mountains/
-106.6933176 40.5574621,Leaving Rainbow,https://beatinpaths.com/2022/08/03/leaving-rainbow/
-89.1598805 36.9832341,cairo confluence,https://beatinpaths.com/2022/08/03/cairo-confluence/
-118.6685285 36.5219855,The Sequoias Speak,https://beatinpaths.com/2022/08/02/the-sequoias-speak/
-66.1140937 18.4637071,Isla del Encanto,https://beatinpaths.com/2022/06/07/isla-del-encanto/
-112.9608976 37.251411,Zion,https://beatinpaths.com/2022/01/13/zion-unfinished/
